dataset_index	problem_index	ProductionRequirements	MachineSetting
D1	11	"C_20,D_32,A_9,H_29,I_10,J_20,F_21"	"DARES01_C_DA1,DARES02_F_DA2,DARES03_F_DA2,DARES04_F_DA3,DARES05_H_DA3,DARES06_I_DA2,DARES07_J_DA1,DARES08_J_DA2,DARES09_J_DA2,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_F_WB2,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_I_WB2,WBRES19_J_WB1,WBRES20_J_WB1,WBRES21_J_WB1,WBRES22_J_WB2,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	12	"C_21,D_28,A_10,H_28,I_10,J_18,F_19"	"DARES01_C_DA1,DARES02_D_DA1,DARES03_D_DA1,DARES04_D_DA2,DARES05_F_DA2,DARES06_H_DA1,DARES07_H_DA1,DARES08_H_DA2,DARES09_H_DA2,DARES10_J_DA1,WBRES01_C_WB1,WBRES02_C_WB1,WBRES03_C_WB1,WBRES04_C_WB2,WBRES05_C_WB2,WBRES06_C_WB2,WBRES07_D_WB1,WBRES08_D_WB1,WBRES09_D_WB1,WBRES10_D_WB2,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_D_WB3,WBRES14_D_WB3,WBRES15_D_WB3,WBRES16_D_WB3,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_F_WB3,WBRES20_F_WB3,WBRES21_H_WB3,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB1"
D1	13	"C_20,D_29,A_9,H_30,I_10,J_21,F_19"	"DARES01_A_DA1,DARES02_D_DA1,DARES03_D_DA1,DARES04_D_DA2,DARES05_D_DA3,DARES06_F_DA1,DARES07_F_DA2,DARES08_F_DA2,DARES09_J_DA1,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB2,WBRES05_D_WB1,WBRES06_D_WB2,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_F_WB2,WBRES10_F_WB2,WBRES11_F_WB2,WBRES12_F_WB2,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB2"
D1	14	"C_18,D_27,A_9,H_29,I_9,J_19,F_20"	"DARES01_A_DA1,DARES02_C_DA2,DARES03_D_DA3,DARES04_F_DA1,DARES05_F_DA1,DARES06_F_DA3,DARES07_H_DA3,DARES08_I_DA1,DARES09_J_DA2,DARES10_J_DA2,WBRES01_D_WB1,WBRES02_D_WB1,WBRES03_D_WB1,WBRES04_D_WB2,WBRES05_D_WB2,WBRES06_D_WB2,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_D_WB3,WBRES10_D_WB3,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_D_WB3,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_H_WB3,WBRES20_H_WB3,WBRES21_H_WB3,WBRES22_I_WB2,WBRES23_I_WB2,WBRES24_I_WB2,WBRES25_J_WB1"
D1	15	"C_18,D_28,A_10,H_28,I_10,J_20,F_20"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_D_DA1,DARES04_D_DA2,DARES05_D_DA2,DARES06_D_DA2,DARES07_D_DA3,DARES08_D_DA3,DARES09_H_DA1,DARES10_H_DA2,WBRES01_C_WB1,WBRES02_C_WB1,WBRES03_C_WB1,WBRES04_C_WB2,WBRES05_C_WB2,WBRES06_D_WB1,WBRES07_D_WB1,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_D_WB2,WBRES11_D_WB2,WBRES12_D_WB3,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB2,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_I_WB2,WBRES20_J_WB1,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	16	"C_20,D_32,A_10,H_30,I_10,J_18,F_20"	"DARES01_A_DA1,DARES02_D_DA2,DARES03_D_DA3,DARES04_F_DA2,DARES05_F_DA3,DARES06_H_DA2,DARES07_I_DA1,DARES08_I_DA2,DARES09_J_DA2,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB1,WBRES04_C_WB2,WBRES05_C_WB2,WBRES06_C_WB2,WBRES07_D_WB1,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_D_WB2,WBRES11_F_WB2,WBRES12_F_WB2,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB2,WBRES25_J_WB2"
D1	17	"C_20,D_28,A_9,H_32,I_10,J_21,F_21"	"DARES01_C_DA2,DARES02_D_DA1,DARES03_D_DA1,DARES04_D_DA2,DARES05_D_DA2,DARES06_F_DA2,DARES07_F_DA2,DARES08_H_DA3,DARES09_H_DA3,DARES10_H_DA3,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB2,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	18	"C_19,D_27,A_9,H_29,I_10,J_18,F_21"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_D_DA2,DARES04_D_DA3,DARES05_F_DA2,DARES06_F_DA2,DARES07_F_DA3,DARES08_H_DA2,DARES09_I_DA2,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_D_WB2,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_D_WB3,WBRES14_F_WB2,WBRES15_F_WB2,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_I_WB2,WBRES19_I_WB2,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB2,WBRES25_J_WB2"
D1	19	"C_21,D_28,A_10,H_32,I_9,J_20,F_20"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_C_DA1,DARES04_C_DA2,DARES05_D_DA2,DARES06_H_DA1,DARES07_I_DA1,DARES08_I_DA2,DARES09_I_DA2,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB1,WBRES14_D_WB2,WBRES15_D_WB3,WBRES16_F_WB2,WBRES17_F_WB2,WBRES18_F_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB1"
D1	20	"C_19,D_31,A_9,H_30,I_9,J_20,F_20"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_C_DA2,DARES04_D_DA3,DARES05_F_DA1,DARES06_F_DA3,DARES07_H_DA2,DARES08_H_DA3,DARES09_I_DA1,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB2,WBRES06_D_WB1,WBRES07_D_WB1,WBRES08_D_WB3,WBRES09_D_WB3,WBRES10_D_WB3,WBRES11_F_WB2,WBRES12_F_WB2,WBRES13_F_WB3,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_I_WB2,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB2,WBRES25_J_WB2"
D1	21	"C_19,D_27,A_10,H_31,I_10,J_19,F_19"	"DARES01_C_DA1,DARES02_C_DA2,DARES03_C_DA2,DARES04_D_DA3,DARES05_F_DA1,DARES06_F_DA2,DARES07_F_DA3,DARES08_H_DA2,DARES09_J_DA2,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB2,WBRES05_C_WB2,WBRES06_D_WB2,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_D_WB2,WBRES11_D_WB2,WBRES12_D_WB2,WBRES13_D_WB3,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_I_WB2,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB2"
D1	22	"C_20,D_32,A_9,H_31,I_10,J_19,F_19"	"DARES01_C_DA1,DARES02_C_DA1,DARES03_D_DA2,DARES04_F_DA1,DARES05_F_DA2,DARES06_H_DA3,DARES07_H_DA3,DARES08_I_DA2,DARES09_I_DA2,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_A_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_C_WB2,WBRES12_D_WB1,WBRES13_D_WB1,WBRES14_D_WB2,WBRES15_D_WB2,WBRES16_D_WB2,WBRES17_D_WB2,WBRES18_F_WB2,WBRES19_F_WB2,WBRES20_F_WB2,WBRES21_H_WB3,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB2"
D1	23	"C_19,D_30,A_9,H_29,I_9,J_21,F_20"	"DARES01_A_DA1,DARES02_C_DA1,DARES03_D_DA1,DARES04_D_DA1,DARES05_D_DA3,DARES06_D_DA3,DARES07_D_DA3,DARES08_F_DA1,DARES09_H_DA2,DARES10_I_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB2,WBRES10_D_WB2,WBRES11_D_WB2,WBRES12_D_WB3,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB1"
D1	24	"C_21,D_27,A_9,H_30,I_10,J_20,F_21"	"DARES01_A_DA1,DARES02_C_DA2,DARES03_D_DA2,DARES04_D_DA2,DARES05_F_DA2,DARES06_F_DA3,DARES07_H_DA2,DARES08_I_DA1,DARES09_I_DA1,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_C_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB2,WBRES06_C_WB2,WBRES07_D_WB1,WBRES08_D_WB1,WBRES09_D_WB1,WBRES10_D_WB2,WBRES11_D_WB2,WBRES12_D_WB3,WBRES13_F_WB3,WBRES14_F_WB3,WBRES15_H_WB3,WBRES16_H_WB3,WBRES17_H_WB3,WBRES18_I_WB2,WBRES19_I_WB2,WBRES20_I_WB2,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB2,WBRES25_J_WB2"
D1	25	"C_20,D_31,A_9,H_31,I_10,J_19,F_21"	"DARES01_F_DA2,DARES02_F_DA2,DARES03_F_DA3,DARES04_H_DA2,DARES05_H_DA2,DARES06_H_DA3,DARES07_H_DA3,DARES08_I_DA1,DARES09_I_DA2,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_D_WB1,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_F_WB2,WBRES10_F_WB2,WBRES11_F_WB3,WBRES12_F_WB3,WBRES13_F_WB3,WBRES14_H_WB3,WBRES15_H_WB3,WBRES16_I_WB2,WBRES17_I_WB2,WBRES18_I_WB2,WBRES19_I_WB2,WBRES20_J_WB1,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	26	"C_20,D_31,A_10,H_27,I_10,J_21,F_20"	"DARES01_C_DA1,DARES02_C_DA1,DARES03_D_DA1,DARES04_D_DA2,DARES05_D_DA3,DARES06_F_DA1,DARES07_H_DA1,DARES08_H_DA3,DARES09_I_DA1,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_D_WB2,WBRES09_F_WB2,WBRES10_F_WB2,WBRES11_F_WB2,WBRES12_F_WB3,WBRES13_F_WB3,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_I_WB2,WBRES23_I_WB2,WBRES24_J_WB1,WBRES25_J_WB1"
D1	27	"C_18,D_30,A_9,H_32,I_9,J_18,F_20"	"DARES01_C_DA1,DARES02_C_DA1,DARES03_F_DA3,DARES04_H_DA2,DARES05_H_DA3,DARES06_H_DA3,DARES07_I_DA1,DARES08_I_DA2,DARES09_I_DA2,DARES10_I_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_D_WB2,WBRES11_D_WB2,WBRES12_D_WB3,WBRES13_D_WB3,WBRES14_D_WB3,WBRES15_F_WB2,WBRES16_F_WB2,WBRES17_F_WB2,WBRES18_F_WB3,WBRES19_F_WB3,WBRES20_H_WB3,WBRES21_H_WB3,WBRES22_J_WB1,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	28	"C_19,D_27,A_10,H_28,I_10,J_21,F_20"	"DARES01_C_DA1,DARES02_C_DA1,DARES03_C_DA2,DARES04_C_DA2,DARES05_D_DA2,DARES06_F_DA2,DARES07_F_DA3,DARES08_H_DA1,DARES09_H_DA2,DARES10_I_DA1,WBRES01_A_WB1,WBRES02_C_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB2,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB1,WBRES10_D_WB2,WBRES11_D_WB2,WBRES12_D_WB3,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB2,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	29	"C_20,D_30,A_10,H_29,I_10,J_19,F_21"	"DARES01_C_DA1,DARES02_D_DA1,DARES03_D_DA2,DARES04_D_DA2,DARES05_D_DA2,DARES06_F_DA1,DARES07_H_DA1,DARES08_H_DA2,DARES09_H_DA3,DARES10_I_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB2,WBRES04_D_WB1,WBRES05_D_WB1,WBRES06_D_WB1,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_F_WB2,WBRES11_F_WB2,WBRES12_F_WB2,WBRES13_F_WB3,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_H_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_I_WB2,WBRES20_J_WB1,WBRES21_J_WB1,WBRES22_J_WB2,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	30	"C_18,D_32,A_10,H_27,I_10,J_21,F_19"	"DARES01_C_DA2,DARES02_D_DA1,DARES03_D_DA2,DARES04_D_DA3,DARES05_F_DA2,DARES06_F_DA2,DARES07_H_DA1,DARES08_H_DA2,DARES09_I_DA1,DARES10_I_DA1,WBRES01_A_WB1,WBRES02_C_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB2,WBRES06_D_WB1,WBRES07_D_WB1,WBRES08_D_WB1,WBRES09_D_WB2,WBRES10_D_WB2,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_F_WB2,WBRES14_F_WB3,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_H_WB3,WBRES20_H_WB3,WBRES21_H_WB3,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB1"
D2	1	"B_10,D_15,I_10,J_15,F_10,A_10,H_10,E_20,C_15,L_10"	"DARES01_A_DA1,DARES02_B_DA1,DARES03_D_DA1,DARES04_E_DA1,DARES05_E_DA4,DARES06_I_DA1,DARES07_I_DA1,DARES08_L_DA3,DARES09_L_DA4,DARES10_L_DA5,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_A_WB1,WBRES05_B_WB1,WBRES06_B_WB1,WBRES07_B_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB2,WBRES13_D_WB3,WBRES14_E_WB2,WBRES15_E_WB4,WBRES16_E_WB4,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_J_WB1,WBRES22_J_WB2,WBRES23_L_WB2,WBRES24_L_WB4,WBRES25_L_WB4"
